Row,Name,P2O5,SiO2,TiO2,Al2O3,Cr2O3,MgO,CaO,MnO,FeO,Na2O,K2O,S,Total,Mineral
56,CR32_2 PT14,0.093,82.8128,0.2138,8.3063,0.0075,0.0067,1.3015,0.035,0.6298,1.7986,2.0318,0.0011,97.2378,Glass
57,CR32_1 PT10,0.0235,77.549,0.183,12.4129,0.0286,0.0122,0.5164,0.0008,0.5231,2.0675,7.3645,0.0011,100.6825,Glass
58,CR32_1 PT12,0.0338,75.9908,0.1435,12.8693,0,0.0086,0.4599,0,0.5342,2.2933,7.7052,0,100.0384,Glass
59,CR42_1 PT2,0.1751,72.74,0.2011,13.5887,0.0236,0.0618,0.6948,0,0.7964,1.7299,9.3133,0.0202,99.345,Glass
60,CR42_1 PT6,0.0725,69.0234,0.4726,17.6013,0.0078,0.0313,3.7274,0.0008,0.9541,3.3457,4.3774,0.0207,99.635,Glass
61,CR42_2 PT2,0.1743,74.8162,0.2221,11.6516,0,0.105,0.6541,0,0.6834,1.9771,8.3815,0,98.6653,Glass
62,CR42_3 PT2,0.4219,68.8894,0.7739,15.4978,0.0185,0.057,3.618,0,2.4964,2.8962,4.7795,0.0023,99.4507,Glass
63,CR43_1 PT2,0.5729,73.1579,1.3253,11.8783,0.0036,0.2421,1.5467,0.0601,2.7331,2.4908,6.3407,0.0117,100.3633,Glass
64,CR43_1 PT3,0.5495,69.9347,0.4606,16.2705,0.0009,0.0486,3.806,0.0507,1.7677,3.849,3.6919,0,100.4301,Glass
65,CR43_1 PT5,0.3141,68.4152,0.5992,15.3403,0,0.2637,3.2263,0.0347,2.1995,3.4148,4.8032,0.0011,98.6122,Glass
66,CR43_1 PT6,0.2959,73.6526,1.656,11.1482,0.0129,0.4636,1.3122,0.0519,2.8506,1.8735,6.5277,0.0065,99.8515,Glass
67,CR43_2 PT2,0.1331,73.2067,0.7631,15.0327,0,0.0366,1.0561,0.0302,1.6387,2.382,6.2984,0.0011,100.5787,Glass
68,CR43_2 PT3,0.2628,73.8477,1.2174,12.8062,0.0019,0.132,0.8671,0,1.9608,1.4697,8.1552,0.0227,100.7435,Glass
69,CR43_2 PT4,0.365,67.8413,1.0096,13.5552,0.0127,0.909,4.0805,0.0775,2.6995,2.6614,4.4154,0.0021,97.6292,Glass
70,CR43_2 PT5,1.8388,61.2399,0.8337,18.1569,0,0.395,7.1714,0.0396,2.5659,3.4016,2.6738,0.0238,98.3403,Glass
71,CR51_1 PT2,1.1401,74.7115,0.5323,12.8103,0,0.038,3.0862,0.0158,0.6932,3.722,1.7997,0.0011,98.5502,Glass
72,CR51_1 PT6,1.0119,67.1862,0.8012,17.4209,0,0.0732,5.4293,0.0334,1.5248,4.8312,1.6063,0.0149,99.9334,Glass
73,CR51_2 PT1,0.5644,72.2142,1.3181,12.1262,0,0.2206,1.642,0.0467,3.2706,2.5465,5.9278,0.0023,99.8794,Glass
74,CR51_2 PT3,3.1999,67.7899,2.8557,9.394,0.0288,0.4204,4.3623,0.1145,5.2826,1.835,5.268,0,100.551,Glass
75,CR51_2 PT4,0.1564,67.1576,0.4666,16.3784,0,0.0987,0.4778,0.0255,2.0837,1.9856,11.4566,0,100.2871,Glass
76,CR51_2 PT5,1.7731,66.1797,2.0001,14.2331,0.0106,0.2543,3.5699,0.0356,3.8009,2.4183,5.7131,0.0068,99.9955,Glass
77,CR53_test 4-2,1.191,63.4629,0.9266,16.562,0.0029,0.5669,6.7456,0.0214,2.5556,3.9854,0.6602,0.0023,96.6828,Glass
78,CR53_test 4-3,1.1585,60.5654,2.9544,15.3033,0,0.5449,3.8455,0.0456,6.1178,2.8764,3.3627,0.009,96.7835,Glass
79,CR53_1 PT5,1.1658,64.6069,1.9594,15.6221,0,0.1226,4.8874,0.009,3.3502,3.5355,3.0452,0.0054,98.3096,Glass
80,CR53_1 PT7,1.1115,70.7456,1.2547,11.3017,0.032,0.1544,3.6977,0.0382,3.2212,2.4183,2.8611,0.0065,96.8428,Glass
81,CR53_1 PT8,0.1635,62.6212,0.7483,17.5303,0.0039,0.0471,1.7824,0,2.1396,4.0087,7.2628,0.0159,96.3236,Glass
