Formula,P2O5,SiO2,TiO2,Al2O3,V2O3,Cr2O3,MgO,CaO,MnO,FeO,ZnO,Na2O,K2O,S,Total,Mineral,Comment
18 / 1 . ,0.7308,56.5107,3.8231,10.7882,,0.0271,2.0183,4.6993,0.1679,13,,2.8573,2.9802,0.0197,97.6225,Glass,CR2B1_2 PT10
19 / 1 . ,0.8056,52.7053,3.7029,10.5692,,0,1.9761,5.3338,0.2056,12.9207,,3.0756,2.6486,0,93.9433,Plagioclase,CR2B1_2 PT11
20 / 1 . ,0.6957,61.0411,2.596,13.2963,,0.0132,2.1168,5.3458,0.1373,9.8946,,3.885,2.6099,0,101.6318,Invalid,CR2B1_2 PT12
21 / 1 . ,0.7617,60.7018,3.0198,13.1119,,0.0221,1.4957,4.5482,0.128,9.7952,,3.4844,2.2992,0.0052,99.3733,Glass,CR2B1_3 PT1
22 / 1 . ,0.7545,60.22,3.0486,12.6807,,0,1.8031,4.9992,0.1497,11.185,,3.5157,2.3466,0.0262,100.7291,Glass,CR2B1_3 PT2
23 / 1 . ,0.7737,61.1413,2.9679,13.1309,,0,1.8205,5.0227,0.1355,10.4857,,3.3331,2.188,0.0011,101.0003,Invalid,CR2B1_3 PT3
24 / 1 . ,0.7256,60.0098,3.0625,13.3391,,0.0264,2.0175,4.6121,0.1613,11.1306,,3.9547,2.2563,0.0147,101.3105,Invalid,CR2B1_3 PT4
25 / 1 . ,0.6338,63.5271,2.6449,15.7576,,0.0276,2.0503,5.4184,0.1494,11.2441,,3.2403,3.4485,0.0296,108.1716,Invalid,CR2B1_3 PT5
26 / 1 . ,0.1885,58.3766,0.6992,23.9843,,0.0129,0.439,8.8259,0.0362,2.3811,,5.0569,0.9628,0.0076,100.971,Plagioclase,CR2B1_3 PT6
27 / 1 . ,0.698,60.1414,2.7366,13.1836,,0,1.9968,4.9762,0.1509,9.3859,,3.6472,2.261,0,99.1775,Glass,CR2B1_3 PT7
28 / 1 . ,0.7621,60.2623,3.2828,13.1619,,0,1.8003,4.6949,0.1375,11.0709,,3.8518,2.3181,0.0138,101.3564,Invalid,CR2B1_3 PT8
29 / 1 . ,,0.546,16.6327,3.7748,0.5572,0.587,4.1097,0.1703,0.3209,67.8398,0.0909,,,,94.6293,Ti-Magnetite,CR2B1_3 PT9
30 / 1 . ,,1.2639,16.0738,1.6575,0.5537,0.4576,1.435,0.439,0.3198,67.7893,0.1172,,,,90.1069,Ti-Magnetite,CR2B1_3 PT10
1 / 1 . ,0.7362,57.7298,3.1736,12.9186,,0,1.5239,4.9938,0.1161,10.5675,,3.4959,2.7458,0.0191,98.0202,Glass,CR2B2_1 PT1
2 / 1 . ,0.7346,59.6763,2.8445,13.8442,,0,1.7003,4.2623,0.1514,10.23,,3.859,2.4083,0.0021,99.7133,Glass,CR2B2_1 PT2
3 / 1 . ,0.6212,59.4368,2.7945,13.9878,,0.022,1.8706,5.4383,0.1282,9.8011,,3.9742,2.4321,0.025,100.5319,Glass,CR2B2_1 PT3
4 / 1 . ,0.6696,58.6243,3.0886,12.332,,0.0198,1.6504,5.0257,0.1488,10.531,,3.4166,2.8574,0.0078,98.3719,Glass,CR2B2_1 PT4
5 / 1 . ,0.7236,60.1399,2.5847,14.0617,,0.0191,1.1579,4.6032,0.1151,8.0968,,3.9376,2.6505,0.0102,98.1001,Glass,CR2B2_1 PT5
6 / 1 . ,0.6724,57.7898,2.8523,13.0697,,0.0186,2.3789,5.3503,0.204,11.3831,,3.8183,2.4616,0,99.9991,Glass,CR2B2_1 PT6
7 / 1 . ,0.8123,60.0313,3.7185,11.3769,,0,1.3802,3.546,0.1685,11.3018,,2.3407,3.0922,0.0124,97.7807,Glass,CR2B2_2 PT1
8 / 1 . ,0.7763,59.435,3.4883,12.4029,,0.0255,1.2574,4.0379,0.1199,11.0804,,3.229,2.7911,0.0011,98.6447,Glass,CR2B2_2 PT2
9 / 1 . ,0.7017,60.1056,2.6701,14.0463,,0.0088,1.3377,4.6032,0.1259,9.3045,,3.6931,2.3903,0,98.9872,Glass,CR2B2_2 PT3
10 / 1 . ,0.7381,63.5232,2.8279,11.8852,,0.0029,0.5174,2.4982,0.1196,8.784,,1.7786,4.799,0.0113,97.4854,Glass,CR2B2_2 PT4
11 / 1 . ,0.8213,60.4536,3.2339,13.9819,,0,1.3071,4.2022,0.1384,9.8631,,3.6924,2.4829,0,100.1769,Glass,CR2B2_2 PT5
12 / 1 . ,0.8285,58.4283,3.2542,13.0602,,0.0066,1.3088,4.8336,0.1614,10.1953,,3.5529,2.34,0.0247,97.9945,Glass,CR2B2_2 PT6
37 / 1 . ,0.4755,56.7267,0.6237,19.1807,,0.0055,0.8154,6.5688,0.0518,3.3569,,4.3218,1.7183,0.0108,93.8558,Plagiolase,CR31_1 PT1
38 / 1 . ,0.0000,79.9717,0.2897,10.6478,,0.0278,0.0273,0.4627,0.0061,0.9077,,2.0020,5.6821,0.0110,100.0358,Glass,CR31_1 PT2
39 / 1 . ,0.0215,85.9589,0.2385,4.3879,,0.0177,0.2570,0.3526,0.0000,0.7263,,0.9895,0.1086,0.0358,93.0942,Invalid,CR31_1 PT3
40 / 1 . ,0.0379,75.0430,0.2063,14.1897,,0.0000,0.0122,0.9723,0.0257,0.6757,,4.0699,5.7335,0.0000,100.9661,Glass,CR31_1 PT4
42 / 1 . ,0.0226,54.5116,0.1880,27.7594,,0.0241,0.0632,10.7108,0.0038,1.0461,,5.0681,0.3960,0.0183,99.8121,Plagiolase,CR31_1 PT6
43 / 1 . ,0.0242,59.8624,0.1523,22.6659,,0.0009,0.0285,5.8903,0.0174,0.6504,,6.4846,1.3976,0.0239,97.1982,Plagiolase,CR31_1 PT7
44 / 1 . ,0.0425,56.6320,0.1922,28.3412,,0.0148,0.0765,10.0729,0.0173,1.2025,,6.0810,0.5083,0.0000,103.1811,Invalid,CR31_1 PT8
45 / 1 . ,0.1234,70.4474,0.2895,14.6960,,0.0165,0.2875,1.8595,0.0405,1.4299,,3.7339,4.5063,0.0022,97.4327,Glass,CR31_1 PT9
46 / 1 . ,0.0000,90.2547,0.1224,4.3046,,0.0000,0.0000,0.1884,0.0084,0.3833,,0.9838,1.9295,0.0022,98.1774,Quartz,CR31_1 PT10
24 / 1 . ,0.0316,59.5039,0.128,26.8019,,0,0.0601,8.5784,0.004,0.9325,,5.9478,0.9836,0.0011,102.9728,Invalid,CR31_2 PT1
25 / 1 . ,0.0189,53.4558,1.0289,2.4227,,0,22.5556,4.3537,0.4082,18.0719,,0.1398,0.0845,0.0275,102.5675,Invalid,CR31_2 PT2
26 / 1 . ,1.4766,56.033,1.379,7.3579,,0.0028,7.2329,5.2584,0.495,19.2974,,1.9109,0.8063,0.0145,101.2646,Invalid,CR31_3 PT1
27 / 1 . ,0.007,57.1829,0.1175,27.0873,,0.0117,0.0862,9.8547,0.012,1.0252,,6.1221,0.5748,0,102.0815,Invalid,CR31_3 PT2
28 / 1 . ,0.098,58.5754,6.8186,13.8059,,0,0.9052,2.0271,0.0763,12.0614,,4.1816,3.1905,0.0145,101.7544,Invalid,CR31_3 PT3
29 / 1 . ,14.4082,48.987,0.3167,11.2627,,0.031,0.0565,18.2934,0.0148,0.858,,2.0305,4.7676,0.0114,101.0377,Invalid,CR31_3 PT4
30 / 1 . ,0.282,67.5876,0.1375,17.3706,,0,0,0.9898,0.0064,0.4415,,3.6795,9.4476,0,99.9425,Glass,CR31_3 PT5
31 / 1 . ,0.0446,59.6707,0.1643,28.2102,,0.0136,0.1203,9.6304,0.0237,1.1248,,6.4495,0.4458,0.0202,105.9181,Invalid,CR31_3 PT6
32 / 1 . ,0.1177,71.933,0.4296,15.7562,,0,0.0119,2.0284,0,0.7405,,4.657,4.9942,0.0109,100.6794,Glass,CR31_3 PT7
33 / 1 . ,0.0066,73.7623,0.1315,15.2448,,0,0.0282,0.292,0,0.5773,,2.1591,10.1628,0.0117,102.3761,Invalid,CR31_3 PT8
34 / 1 . ,0.0268,59.441,0.2205,23.2943,,0.0295,0.3993,6.7915,0.0446,1.6778,,6.0077,1.0394,0.013,98.9854,Plagiolase,CR31_3 PT9
35 / 1 . ,0.0791,55.6958,0.2341,26.8088,,0.0236,0.1705,10.0082,0.0111,1.2778,,5.496,0.4986,0.0085,100.3121,Plagiolase,CR31_3 PT10
1 / 1 . ,0.0537,66.4181,0.1132,20.5822,,0.0000,0.0306,3.3889,0.0000,0.5845,,6.8472,3.1695,0.0000,101.1878,Invalid,CR32_1 PT2
2 / 1 . ,0.0275,57.6468,0.2051,26.8483,,0.0136,0.0689,9.4529,0.0000,1.3028,,5.9773,0.6827,0.0085,102.2344,Invalid,CR32_1 PT3
3 / 1 . ,0.0000,70.2912,0.1212,18.9860,,0.0000,0.0464,0.7730,0.0000,0.7459,,4.0200,10.7124,0.0148,105.7109,Invalid,CR32_1 PT4
4 / 1 . ,0.0452,56.7175,0.1105,26.4845,,0.0018,0.0972,9.4501,0.0275,1.2095,,5.6889,0.6020,0.0053,100.4399,Plagiolase,CR32_1 PT5
